Survey_Date,End_survey_date,Site,Type,Type_description,Disease,Herm,Snails,Total
9/1/2011,9/2/2011,Molasses shallow,Restored,A.cervicornis colonies surveyed had been outplanted from the nursery,22,5,0,86
9/1/2011,9/2/2011,Aquarius,Restored,A.cervicornis colonies surveyed had been outplanted from the nursery,6,4,8,36
9/1/2011,9/2/2011,Conch Shallows,Restored,A.cervicornis colonies surveyed had been outplanted from the nursery,1,4,4,39
9/1/2011,9/2/2011,French A,Restored,A.cervicornis colonies surveyed had been outplanted from the nursery,10,2,1,42
9/1/2011,9/2/2011,French B,Restored,A.cervicornis colonies surveyed had been outplanted from the nursery,0,0,0,17
9/1/2011,9/2/2011,Key Largo Dry Rocks,Restored,A.cervicornis colonies surveyed had been outplanted from the nursery,1,9,3,37
9/1/2011,9/2/2011,Wild Site A,Wild,A.cervicornis colonies surveyed were naturally recruited at the site,1,0,1,35
9/1/2011,9/2/2011,Wild Site B,Wild,A.cervicornis colonies surveyed were naturally recruited at the site,1,1,0,17
9/1/2011,9/2/2011,Wild Site C,Wild,A.cervicornis colonies surveyed were naturally recruited at the site,1,1,0,25
9/1/2011,9/2/2011,Pickles,Restored,A.cervicornis colonies surveyed had been outplanted from the nursery,19,5,0,69
9/1/2011,9/2/2011,Nursery,Nursery,The offshore coral nursery site of origin for restored corals,5,0,0,432
9/29/2011,9/30/2011,Molasses shallow,Restored,A.cervicornis colonies surveyed had been outplanted from the nursery,26,3,2,96
9/29/2011,9/30/2011,Aquarius,Restored,A.cervicornis colonies surveyed had been outplanted from the nursery,11,4,13,43
9/29/2011,9/30/2011,Conch Shallows,Restored,A.cervicornis colonies surveyed had been outplanted from the nursery,0,1,1,44
9/29/2011,9/30/2011,French A,Restored,A.cervicornis colonies surveyed had been outplanted from the nursery,18,9,0,42
9/29/2011,9/30/2011,French B,Restored,A.cervicornis colonies surveyed had been outplanted from the nursery,0,0,2,18
9/29/2011,9/30/2011,Key Largo Dry Rocks,Restored,A.cervicornis colonies surveyed had been outplanted from the nursery,0,14,3,40
9/29/2011,9/30/2011,Wild Site A,Wild,A.cervicornis colonies surveyed were naturally recruited at the site,2,0,0,36
9/29/2011,9/30/2011,Wild Site B,Wild,A.cervicornis colonies surveyed were naturally recruited at the site,1,1,1,35
