Type,Typre_Description,Colony,Prop_dead_S1,Prop_dead_S2,Prop_dead_S3,Prop_dead_S4,Prop_dead_S5,Prop_dead_S6,,,,,,,,,,,,,,
Restored,A.cervicornis colonies surveyed had been outplanted from the nursery,O186,0.05,0.00,0.00,0.00,0.00,0.95,,,,,,,,,,,,,,
Restored,A.cervicornis colonies surveyed had been outplanted from the nursery,O188,0.30,0.20,0.30,0.30,0.50,0.95,,,,,,,,,,,,,,
Restored,A.cervicornis colonies surveyed had been outplanted from the nursery,O190,,,0.05,0.25,0.30,0.45,,,,,,,,,,,,,,
Restored,A.cervicornis colonies surveyed had been outplanted from the nursery,W157,0.65,0.55,0.70,0.90,0.99,,,,,,,,,,,,,,,
Restored,A.cervicornis colonies surveyed had been outplanted from the nursery,W159,0.40,0.60,0.80,0.85,0.65,0.95,,,,,,,,,,,,,,
Restored,A.cervicornis colonies surveyed had been outplanted from the nursery,W163,0.02,0.05,0.30,0.80,0.40,0.50,,,,,,,,,,,,,,
Restored,A.cervicornis colonies surveyed had been outplanted from the nursery,W165,0.05,0.20,0.80,0.80,0.70,0.60,,,,,,,,,,,,,,
Restored,A.cervicornis colonies surveyed had been outplanted from the nursery,W178,0.80,0.90,0.80,0.75,0.80,0.80,,,,,,,,,,,,,,
Restored,A.cervicornis colonies surveyed had been outplanted from the nursery,W179,0.90,0.75,0.80,0.70,0.45,0.60,,,,,,,,,,,,,,
Restored,A.cervicornis colonies surveyed had been outplanted from the nursery,W182,0.00,0.00,0.00,0.00,0.01,0.60,,,,,,,,,,,,,,
Restored,A.cervicornis colonies surveyed had been outplanted from the nursery,W183,0.00,0.05,0.00,0.01,0.05,0.15,,,,,,,,,,,,,,
Restored,A.cervicornis colonies surveyed had been outplanted from the nursery,W184,0.00,0.00,0.00,0.00,0.05,1.00,,,,,,,,,,,,,,
Restored,A.cervicornis colonies surveyed had been outplanted from the nursery,W190,0.75,0.80,0.80,0.55,0.85,0.85,,,,,,,,,,,,,,
Restored,A.cervicornis colonies surveyed had been outplanted from the nursery,W194,0.00,0.00,0.00,0.00,0.00,0.01,,,,,,,,,,,,,,
Restored,A.cervicornis colonies surveyed had been outplanted from the nursery,W200,0.05,0.05,0.40,0.40,0.40,0.95,,,,,,,,,,,,,,
Wild,A.cervicornis colonies surveyed were naturally recruited at the site,P059,,,0.10,0.10,0.00,0.05,,,,,,,,,,,,,,
Wild,A.cervicornis colonies surveyed were naturally recruited at the site,P066,0.40,0.15,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,
Wild,A.cervicornis colonies surveyed were naturally recruited at the site,P067,0.10,0.20,0.20,0.15,0.20,0.25,,,,,,,,,,,,,,
Wild,A.cervicornis colonies surveyed were naturally recruited at the site,P069,0.05,0.00,0.45,0.20,0.30,,,,,,,,,,,,,,,
Wild,A.cervicornis colonies surveyed were naturally recruited at the site,P080,0.80,0.75,0.70,0.65,0.50,0.95,,,,,,,,,,,,,,
